600|300
20|20|80
50|0|50|299|120|120|120|1
100|0|100|299|120|120|120|1
150|0|150|299|120|120|120|1
200|0|200|299|120|120|120|1
250|0|250|299|120|120|120|1
300|0|300|299|120|120|120|1
350|0|350|299|120|120|120|1
400|0|400|299|120|120|120|1
450|0|450|299|120|120|120|1
500|0|500|299|120|120|120|1
550|0|550|299|120|120|120|1
0|50|599|50|120|120|120|1
0|100|599|100|120|120|120|1
0|150|599|150|120|120|120|1
0|200|599|200|120|120|120|1
0|250|599|250|120|120|120|1
50|250|100|100|0|0|255|3
100|100|400|100|0|0|255|3
400|100|400|250|0|0|255|3
400|250|425|250|0|0|255|3
425|250|425|50|0|0|255|3
425|50|500|50|0|0|255|3
500|50|550|150|0|0|255|3
550|150|550|250|0|0|255|3
550|250|50|250|0|0|255|3
450|250|450|299|0|0|255|3
450|299|500|299|0|0|255|3
500|299|500|250|0|0|255|3
125|250|125|299|0|0|255|3
125|299|175|299|0|0|255|3
175|299|175|250|0|0|255|3
190|250|190|299|0|0|255|3
190|299|240|299|0|0|255|3
240|299|240|250|0|0|255|3
450|75|485|75|0|0|255|3
485|75|525|150|0|0|255|3
525|150|450|150|0|0|255|3
450|150|450|75|0|0|255|3
