600|600
95|40|115
50|0|50|599|120|120|120|1 (X inicial, Y inicial,  X final, Y final, (R, G, B), Espessura)
100|0|100|599|120|120|120|1
150|0|150|599|120|120|120|1
200|0|200|599|120|120|120|1
250|0|250|599|120|120|120|1
300|0|300|599|120|120|120|1
350|0|350|599|120|120|120|1
400|0|400|599|120|120|120|1
450|0|450|599|120|120|120|1
500|0|500|599|120|120|120|1
550|0|550|599|120|120|120|1
0|50|599|50|120|120|120|1
0|100|599|100|120|120|120|1
0|150|599|150|120|120|120|1
0|200|599|200|120|120|120|1
0|250|599|250|120|120|120|1
0|300|599|300|120|120|120|1
0|350|599|350|120|120|120|1
0|400|599|400|120|120|120|1
0|450|599|450|120|120|120|1
0|500|599|500|120|120|120|1
0|550|599|550|120|120|120|1
50|250|150|150|255|255|255|2
150|150|150|200|255|255|255|2
150|200|300|150|255|255|255|2
300|150|350|200|255|255|255|2
350|200|350|250|255|255|255|2
350|250|550|300|255|255|255|2
550|300|300|250|255|255|255|2
300|250|200|300|255|255|255|2
200|300|250|250|255|255|255|2
250|250|50|250|255|255|255|2
115|202|120|203|255|255|255|2
120|203|120|207|255|255|255|4
120|207|115|207|255|255|255|2
115|207|115|203|255|255|255|4
